0 0 -4,172325E-07 0

20 -5,476063E-11 -0,0002236962 4,456979E-09
3700 -7,36279E-10 0,004092336 7,282051E-08

3720 -7,36279E-10 0,004092336 7,282051E-08

3740 -7,36279E-10 0,004092336 7,282051E-08

3760 -7,36279E-10 0,004092336 7,282051E-08

3780 -7,36279E-10 0,004092336 7,282051E-08

3800 -7,36279E-10 0,004092336 7,282051E-08

3820 -7,36279E-10 0,004092336 7,282051E-08

3840 -7,36279E-10 0,004092336 7,282051E-08

3860 -7,36279E-10 0,004092336 7,282051E-08

3880 -7,36279E-10 0,004092336 7,282051E-08

3900 -7,36279E-10 0,004092336 7,282051E-08

3920 -7,36279E-10 0,004092336 7,282051E-08

3940 -7,36279E-10 0,004092336 7,282051E-08

3960 -7,36279E-10 0,004092336 7,282051E-08

3980 -7,36279E-10 0,004092336 7,282051E-08

4000 -7,36279E-10 0,004092336 7,282051E-08

4020 -7,36279E-10 0,004092336 7,282051E-08

4040 -7,36279E-10 0,004092336 7,282051E-08

4060 -7,36279E-10 0,004092336 7,282051E-08

4080 -7,36279E-10 0,004092336 7,282051E-08

4100 -7,36279E-10 0,004092336 7,282051E-08

4120 -7,36279E-10 0,004092336 7,282051E-08

4140 -7,36279E-10 0,004092336 7,282051E-08

4160 -7,36279E-10 0,004092336 7,282051E-08

4180 -7,36279E-10 0,004092336 7,282051E-08

4200 -7,36279E-10 0,004092336 7,282051E-08

4220 -7,36279E-10 0,004092336 7,282051E-08

4240 -7,36279E-10 0,004092336 7,282051E-08

4260 -7,36279E-10 0,004092336 7,282051E-08

4280 -7,36279E-10 0,004092336 7,282051E-08

4300 -7,36279E-10 0,004092336 7,282051E-08

4320 -7,36279E-10 0,004092336 7,282051E-08

4340 -7,36279E-10 0,004092336 7,282051E-08

4360 -7,36279E-10 0,004092336 7,282051E-08

4380 -7,36279E-10 0,004092336 7,282051E-08

4400 -7,36279E-10 0,004092336 7,282051E-08

4420 -7,36279E-10 0,004092336 7,282051E-08

4440 -7,36279E-10 0,004092336 7,282051E-08

