0 0 -4,172325E-07 0

20 -5,476063E-11 -0,0002236962 4,456979E-09
11020 -0,414588 0,003964216 9,252573

11040 -0,4314431 0,003968239 9,382798

11060 -0,4484409 0,00397265 9,513974

11080 -0,4655691 0,003977239 9,646104

11100 -0,4828764 0,003982008 9,77918

11120 -0,5003834 0,003986716 9,913199

11140 -0,5180959 0,003991246 10,04816

11160 -0,5360133 0,003994942 10,18407

11180 -0,5541318 0,003998488 10,32092

11200 -0,5724464 0,004001617 10,45871

11220 -0,5909519 0,004004031 10,59744

11240 -0,6096433 0,004006118 10,73713

11260 -0,6285161 0,004007638 10,87775

11280 -0,647566 0,004008859 11,01932

11300 -0,6667892 0,004009753 11,16184

11320 -0,6861824 0,004010201 11,30531

11340 -0,7057425 0,004010469 11,44972

11360 -0,7254668 0,004010439 11,59508

11380 -0,7453528 0,00401026 11,74139

11400 -0,7653982 0,004010081 11,88864

11420 -0,7856008 0,004009724 12,03685

11440 -0,8059589 0,004009396 12,186

11460 -0,8264704 0,004009008 12,3361

11480 -0,8471337 0,004008561 12,48715

11500 -0,8679473 0,004008114 12,63915

11520 -0,8889099 0,004007965 12,79209

11540 -0,9100198 0,004007399 12,94599

11560 -0,931276 0,004007041 13,10083

11580 -0,9526772 0,004006922 13,25663

11600 -0,9742222 0,004006743 13,41337

11620 -0,9959102 0,004006594 13,57107

11640 -1,01774 0,004006475 13,72971

11660 -1,039711 0,004006296 13,8893

11680 -1,061822 0,004006267 14,04984

11700 -1,084072 0,004006177 14,21134

11720 -1,106461 0,004006326 14,37378

11740 -1,128988 0,004006028 14,53717

11760 -1,151653 0,004006296 14,70151

11780 -1,174454 0,004006296 14,86681

11800 -1,197392 0,004006356 15,03305

11820 -1,220465 0,004006386 15,20024

11840 -1,243674 0,004006386 15,36839

11860 -1,267017 0,004006445 15,53748

11880 -1,290496 0,004006565 15,70752

11900 -1,314109 0,004006624 15,87852

11920 -1,337855 0,004006445 16,05046

11940 -1,361736 0,004006773 16,22335

11960 -1,385749 0,004006803 16,3972

11980 -1,409897 0,004006863 16,57199

12000 -1,434177 0,004006982 16,74774

12020 -1,45859 0,004006982 16,92443

12040 -1,483135 0,004006982 17,10207

12060 -1,507813 0,004007041 17,28067

12080 -1,532624 0,004007071 17,46021

12100 -1,557567 0,004007161 17,64071

12120 -1,582642 0,00400722 17,82215

12140 -1,607849 0,00400725 18,00455

12160 -1,633188 0,00400731 18,18789

12180 -1,658658 0,004007101 18,37218

12200 -1,684261 0,004007339 18,55743

12220 -1,709996 0,00400731 18,74362

12240 -1,735862 0,00400731 18,93076

12260 -1,76186 0,004007339 19,11886

12280 -1,787989 0,004007339 19,3079

12300 -1,81425 0,004007608 19,49789

12320 -1,840642 0,004007578 19,68883

12340 -1,867166 0,004007548 19,88072

12360 -1,893821 0,004007548 20,07356

12380 -1,920608 0,004007518 20,26735

12400 -1,947526 0,004007548 20,46209

12420 -1,974576 0,004007608 20,65778

12440 -2,001756 0,004007667 20,85442

12460 -2,029069 0,004007727 21,052

12480 -2,056512 0,004007697 21,25054

12500 -2,084087 0,004007757 21,45002

12520 -2,111793 0,004007816 21,65046

12540 -2,13963 0,004007787 21,85184

12560 -2,167599 0,004007846 22,05417

12580 -2,195699 0,004007906 22,25745

12600 -2,22393 0,004007906 22,46169

12620 -2,252292 0,004007876 22,66686

12640 -2,280785 0,004007936 22,87299

12660 -2,30941 0,004007995 23,08007

12680 -2,338166 0,004007995 23,2881

12700 -2,367053 0,004008055 23,49707

12720 -2,396071 0,004008114 23,70699

12740 -2,42522 0,004008114 23,91787

12760 -2,4545 0,004008114 24,12969

12780 -2,483912 0,004008085 24,34245

12800 -2,513454 0,004008144 24,55617

12820 -2,543128 0,004008204 24,77084

12840 -2,572933 0,004008263 24,98645

12860 -2,602869 0,004008323 25,20301

12880 -2,632936 0,004008383 25,42052

12900 -2,663135 0,004008442 25,63898

12920 -2,693464 0,004008442 25,85839

12940 -2,723924 0,004008442 26,07875

12960 -2,754516 0,004008502 26,30005

12980 -2,785239 0,004008561 26,5223

13000 -2,816092 0,004008561 26,7455

13020 -2,847076 0,004008561 26,96965

13040 -2,878192 0,004008561 27,19475

13060 -2,909439 0,004008621 27,42079

13080 -2,940817 0,004008681 27,64778

13100 -2,972326 0,00400877 27,87572

13120 -3,003965 0,00400877 28,10461

13140 -3,035736 0,00400877 28,33444

13160 -3,067638 0,00400883 28,56523

13180 -3,099671 0,004008889 28,79696

13200 -3,131835 0,004008889 29,02963

13220 -3,164129 0,004008889 29,26326

13240 -3,196555 0,004008949 29,49783

13260 -3,229112 0,004008949 29,73335

13280 -3,2618 0,004009008 29,96982

13300 -3,294618 0,004009008 30,20724

13320 -3,327568 0,004009068 30,4456

13340 -3,360649 0,004009068 30,68491

13360 -3,39386 0,004009128 30,92517

13380 -3,427203 0,004009187 31,16637

13400 -3,460676 0,004009247 31,40852

13420 -3,494281 0,004009247 31,65162

13440 -3,528016 0,004009247 31,89566

13460 -3,561882 0,004009306 32,14066

13480 -3,595879 0,004009306 32,3866

13500 -3,630007 0,004009366 32,63348

13520 -3,664266 0,004009366 32,88132

13540 -3,698655 0,004009426 33,1301

13560 -3,733176 0,004009485 33,37982

13580 -3,767828 0,004009485 33,6305

13600 -3,80261 0,004009545 33,88212

13620 -3,837523 0,004009545 34,13469

13640 -3,872567 0,004009604 34,3882

13660 -3,907742 0,004009604 34,64266

13680 -3,943048 0,004009664 34,89806

13700 -3,978484 0,004009664 35,15442

13720 -4,010219 0,008752882 35,41449

13740 -4,052476 0,01289177 35,67445

13760 -4,0879 0,01145992 35,93356

13780 -4,123616 0,01009628 36,19372

13800 -4,159571 0,008837551 36,45488

13820 -4,19573 0,007707179 36,71708

13840 -4,232072 0,006717443 36,98031

13860 -4,268579 0,005871922 37,24459

13880 -4,30524 0,005167484 37,50991

13900 -4,342044 0,004596144 37,77628

13920 -4,37459 0,008769393 38,04203

13940 -4,417495 0,01253304 38,3079

13960 -4,454255 0,01106018 38,57752

13980 -4,491232 0,009684533 38,84807

14000 -4,528388 0,008429885 39,11961

14020 -4,565689 0,007311672 39,39211

14040 -4,603111 0,006336272 39,66557

14060 -4,640635 0,005503714 39,93999

14080 -4,678248 0,004809767 40,21534

14100 -4,715944 0,004246205 40,49162

14120 -4,753713 0,003802329 40,76883

14140 -4,791553 0,003466308 41,04696

14160 -4,829462 0,003224611 41,32601

14180 -4,867435 0,003064066 41,60598

14200 -4,905476 0,002971828 41,88688

14220 -4,943581 0,002935648 42,16871

14240 -4,981751 0,002943754 42,45147

14260 -5,019988 0,00298661 42,73516

14280 -5,058291 0,003054231 43,01978

14300 -5,096663 0,003139079 43,30534

14320 -5,135104 0,003234178 43,59185

14340 -5,173616 0,003334612 43,8793

14360 -5,2122 0,003435105 44,16769

14380 -5,250856 0,003532588 44,45704

14400 -5,289581 0,003624469 44,74733

14420 -5,328372 0,00370881 45,03857

14440 -5,367226 0,003784567 45,33077

14460 -5,40614 0,003850937 45,62393

14480 -5,445112 0,003908038 45,91804

14500 -5,484133 0,003955722 46,21311

14520 -5,523197 0,003994703 46,50914

14540 -5,562294 0,004025578 46,80613

14560 -5,601407 0,004049003 47,10408

14580 -5,640518 0,004065961 47,40299

14600 -5,679607 0,004077315 47,70287

14620 -5,718646 0,004083902 48,00372

14640 -5,757608 0,004086703 48,30553

14660 -5,796461 0,004086316 48,60832

14680 -5,83517 0,004083872 48,91209

14700 -5,873697 0,004079461 49,21684

14720 -5,912002 0,004074037 49,52257

14740 -5,950034 0,004067868 49,82928

14760 -5,98774 0,00406158 50,13699

14780 -6,025067 0,0040555 50,44569

14800 -6,061955 0,004049867 50,75538

14820 -6,09833 0,004044741 51,06607

14840 -6,134116 0,004040688 51,37775

14860 -6,169231 0,004037827 51,69044

14880 -6,203579 0,004035622 52,00413

14900 -6,237062 0,004034847 52,31882

14920 -6,269568 0,004035562 52,63451

14940 -6,300982 0,00403744 52,95118

14960 -6,331188 0,004040748 53,26885

14980 -6,360064 0,004045397 53,58749

15000 -6,387504 0,004051268 53,9071

15020 -6,413386 0,004058093 54,22767

15040 -6,437597 0,004065722 54,54918

15060 -6,460032 0,004074067 54,87161

15080 -6,480594 0,004082441 55,19495

15100 -6,499189 0,004090369 55,51918

15120 -6,515729 0,004097611 55,84429

15140 -6,53012 0,004103929 56,17025

15160 -6,542269 0,004108459 56,49705

15180 -6,552077 0,004111797 56,82465

15200 -6,559446 0,004113704 57,15304

15220 -6,56428 0,004114181 57,48219

15240 -6,566477 0,004113346 57,81206

15260 -6,565941 0,004111201 58,14262

15280 -6,562577 0,004108161 58,47383

15300 -6,556297 0,004104137 58,80565

15320 -6,547024 0,004098862 59,13804

15340 -6,534688 0,004092276 59,47097

15360 -6,519233 0,004084438 59,80438

15380 -6,50061 0,004074752 60,13826

15400 -6,47878 0,004063338 60,47254

15420 -6,453711 0,004050076 60,80721

15440 -6,425372 0,004035413 61,14223

15460 -6,39374 0,004018724 61,47755

15480 -6,358797 0,00400123 61,81315

15500 -6,320519 0,0039832 62,14899

15520 -6,278907 0,003964901 62,48503

15540 -6,233959 0,003945887 62,82125

15560 -6,185682 0,003927618 63,15763

15580 -6,134081 0,003909826 63,49413

15600 -6,079175 0,00389266 63,83073

15620 -6,020988 0,003876626 64,16742

15640 -5,959557 0,003861427 64,50417

15660 -5,894921 0,003847718 64,84098

15680 -5,827128 0,003834963 65,17783

15700 -5,756232 0,003823549 65,51473

15720 -5,682301 0,003813505 65,85167

15740 -5,605412 0,003804684 66,18865

15760 -5,525637 0,003797412 66,5257

15780 -5,44294 0,003795564 66,86278

15800 -5,357327 0,003799081 67,19984

15820 -5,268828 0,003807694 67,5369

15840 -5,177491 0,003820002 67,87395

15860 -5,083371 0,003834695 68,21099

15880 -4,986535 0,003850251 68,54803

15900 -4,88705 0,003866106 68,88507

15920 -4,784986 0,003881305 69,22214

15940 -4,680418 0,003895342 69,55925

15960 -4,573416 0,003908843 69,89642

15980 -4,464052 0,003920943 70,23367

16000 -4,352397 0,003932148 70,57102

16020 -4,238522 0,003942937 70,90849

16040 -4,122497 0,003952861 71,24609

16060 -4,004388 0,003962517 71,58385

16080 -3,884264 0,003971815 71,92181

16100 -3,762187 0,003981113 72,25997

16120 -3,638223 0,003990382 72,59836

16140 -3,512433 0,003999293 72,937

16160 -3,384877 0,004008144 73,2759

16180 -3,255613 0,004016608 73,61511

16200 -3,124697 0,004024923 73,95464

16220 -2,992185 0,004032433 74,29449

16240 -2,858129 0,004039586 74,63472

16260 -2,722579 0,004045993 74,97532

16280 -2,585585 0,004051626 75,31631

16300 -2,447193 0,004056424 75,65771

16320 -2,30745 0,004060179 75,99957

16340 -2,166398 0,004063338 76,34187

16360 -2,024079 0,004065573 76,68463

16380 -1,880533 0,004067063 77,02789

16400 -1,735798 0,0040676 77,37164

16420 -1,58991 0,0040676 77,71591

16440 -1,442904 0,004066825 78,06072

16460 -1,294814 0,004065692 78,40608

16480 -1,14567 0,004063725 78,752

16500 -0,995504 0,004061639 79,09849

16520 -0,8443431 0,004059166 79,44557

16540 -0,6922151 0,004056513 79,79324

16560 -0,5391459 0,004053593 80,14153

16580 -0,3851602 0,004050851 80,49044

16600 -0,2302815 0,004047632 80,83998

16620 -0,07774691 0,006633312 81,19209

16640 0,07786759 0,00636059 81,54205

16660 0,2359145 0,008885175 81,89268

16680 0,3910491 0,008260757 82,24391

16700 0,547183 0,007640868 82,59584

16720 0,7041156 0,007044852 82,94855

16740 0,8617023 0,006488413 83,30211

16760 1,015851 0,00993222 83,65569

16780 1,175611 0,008791655 84,00964

16800 1,338042 0,01209995 84,36078

16820 1,496118 0,01049781 84,71696

16840 1,654604 0,009050697 85,07404

16860 1,813416 0,007770211 85,43207

16880 1,972474 0,006660283 85,79106

16900 2,131705 0,005717963 86,15104

16920 2,29104 0,004936337 86,512

16940 2,450413 0,004303873 86,87395

16960 2,609754 0,003807187 87,23694

16980 2,768995 0,003432035 87,60095

17000 2,928072 0,003162414 87,96602

17020 3,086923 0,002983689 88,33216

17040 3,245493 0,002880633 88,69939

17060 3,403732 0,002839655 89,06774

17080 3,561589 0,00284797 89,43722

17100 3,71902 0,002893984 89,80785

17120 3,875978 0,002967596 90,17964

17140 4,032419 0,003060073 90,55261

17160 4,188299 0,003163904 90,92679

17180 4,343573 0,0032731 91,30219

17200 4,498193 0,003382862 91,67882

17220 4,652112 0,003489286 92,0567

17240 4,805276 0,003589869 92,43585

17260 4,957631 0,003682137 92,81628

17280 5,10912 0,003765017 93,19802

17300 5,259684 0,003838211 93,58106

17320 5,409264 0,003901124 93,96544

17340 5,557802 0,00395447 94,35115

17360 5,70524 0,00399822 94,73821

17380 5,851524 0,004033089 95,12664

17400 5,996601 0,00406006 95,51643

17420 6,14042 0,004079729 95,9076

17440 6,282935 0,004093051 96,30015

17460 6,4241 0,004100949 96,69407

17480 6,563874 0,004104137 97,08939

17500 6,702214 0,004103601 97,48609

17520 6,839081 0,004099786 97,88419

17540 6,974432 0,004093647 98,28368

17560 7,108228 0,004085779 98,68456

17580 7,240425 0,004076868 99,08682

17600 7,370979 0,00406751 99,49048

17620 7,499843 0,004058033 99,89553

17640 7,626966 0,004049003 100,302

17660 7,752293 0,004041016 100,7098

17680 7,875767 0,004033566 101,119

17700 7,997333 0,004027694 101,5296

17720 8,116936 0,004022747 101,9416

17740 8,234529 0,004019022 102,355

17760 8,350067 0,004015923 102,7697

17780 8,463511 0,00401333 103,1858

17800 8,574828 0,004011065 103,6033

17820 8,683985 0,004009157 104,0221

17840 8,790953 0,004007101 104,4422

17860 8,895703 0,004004776 104,8637

17880 8,998207 0,004002124 105,2865

17900 9,098429 0,00399968 105,7105

17920 9,196324 0,003997266 106,1359

17940 9,291851 0,003995538 106,5626

17960 9,384961 0,003994554 106,9905

17980 9,475613 0,003993809 107,4197

18000 9,563766 0,00399372 107,8501

18020 9,649385 0,003994167 108,2818

18040 9,732437 0,003994524 108,7147

18060 9,812893 0,003994793 109,1487

18080 9,890727 0,003994912 109,584

18100 9,965915 0,003994673 110,0204

18120 10,03844 0,003993779 110,458

18140 10,10826 0,003992617 110,8967

18160 10,17538 0,003991038 111,3365

18180 10,23974 0,003989369 111,7774

18200 10,30133 0,003988206 112,2194

18220 10,36011 0,003986686 112,6625

18240 10,41606 0,003985733 113,1065

18260 10,46915 0,003984779 113,5517

18280 10,51937 0,003983915 113,9978

18300 10,5667 0,003982931 114,4448

18320 10,61112 0,00398168 114,8929

18340 10,65265 0,003979981 115,3419

18360 10,69126 0,003977388 115,7918

18380 10,72697 0,003974527 116,2426

18400 10,75978 0,003970951 116,6943

18420 10,7897 0,003966749 117,1469

18440 10,81674 0,00396201 117,6003

18460 10,84092 0,003957123 118,0546

18480 10,86225 0,003951937 118,5097

18500 10,88074 0,003946692 118,9656

18520 10,89643 0,003941596 119,4223

18540 10,90933 0,003936887 119,8798

18560 10,91948 0,003932506 120,3381

18580 10,92692 0,003928453 120,7971

18600 10,93167 0,003924608 121,2569

18620 10,93379 0,003921241 121,7174

18640 10,93331 0,003918618 122,1787

18660 10,93023 0,003917873 122,6406

18680 10,92456 0,003919005 123,1033

18700 10,91634 0,003921926 123,5667

18720 10,90558 0,003926247 124,0308

18740 10,89233 0,003931403 124,4956

18760 10,87663 0,003936708 124,9611

18780 10,85853 0,0039424 125,4272

18800 10,83807 0,003947705 125,894

18820 10,8153 0,003952712 126,3615

18840 10,79027 0,00395745 126,8297

18860 10,76302 0,003961891 127,2985

18880 10,7336 0,003966004 127,768

18900 10,70207 0,003970057 128,2382

18920 10,66847 0,003973931 128,709

18940 10,63285 0,003977746 129,1805

18960 10,59527 0,003981352 129,6527

18980 10,55575 0,003985375 130,1256

19000 10,51437 0,003989309 130,5992

19020 10,47115 0,003993332 131,0734

19040 10,42616 0,003997475 131,5483

19060 10,37942 0,004001707 132,0239

19080 10,331 0,00400576 132,5002

19100 10,28094 0,004009783 132,9772

19120 10,22927 0,004013687 133,455

19140 10,17604 0,004017383 133,9334

19160 10,1213 0,004021019 134,4125

19180 10,06508 0,004024267 134,8924

19200 10,00743 0,004027188 135,373

19220 9,948381 0,004029989 135,8542

19240 9,887974 0,004032344 136,3363

19260 9,826246 0,0040344 136,819

19280 9,763232 0,00403592 137,3026

19300 9,698969 0,00403735 137,7868

19320 9,63349 0,004038334 138,2718

19340 9,566829 0,004039049 138,7576

19360 9,499016 0,004039496 139,2441

19380 9,430084 0,004039764 139,7313

19400 9,360063 0,004039586 140,2194

19420 9,28898 0,004039317 140,7082

19440 9,216867 0,004038781 141,1978

19460 9,143749 0,004038185 141,6882

19480 9,069652 0,00403744 142,1793

19500 8,994602 0,004036665 142,6712

19520 8,918624 0,00403586 143,164

19540 8,841742 0,004034966 143,6575

19560 8,763977 0,004034102 144,1518

19580 8,685352 0,00403288 144,6469

19600 8,605888 0,004032224 145,1428

19620 8,525608 0,004031211 145,6396

19640 8,44453 0,004030228 146,1371

19660 8,362673 0,004029423 146,6355

19680 8,280056 0,004028589 147,1346

19700 8,196696 0,004027814 147,6346

19720 8,112617 0,004027128 148,1354

19740 8,027928 0,004026145 148,6365

19760 7,942858 0,004027426 149,1368

19780 7,857608 0,004039943 149,6353

19800 7,772035 0,004077107 150,1329

19820 7,685987 0,004140288 150,6303

19840 7,599322 0,00422281 151,1277

19860 7,511916 0,004317939 151,6249

19880 7,423676 0,004419237 152,1219

19900 7,334527 0,004520893 152,6188

19920 7,244391 0,004618257 153,1154

19940 7,153204 0,004707962 153,6118

19960 7,060916 0,004787624 154,1078

19980 6,967476 0,004855603 154,6036

20000 6,872842 0,004911155 155,0989

20020 6,776968 0,004954427 155,5939

20040 6,679797 0,00498578 156,0885

20060 6,581247 0,005006403 156,5826

20080 6,48123 0,005017579 157,0762

20100 6,379624 0,005021304 157,5692

20120 6,2763 0,005019605 158,0616

20140 6,171115 0,005013764 158,5533

20160 6,063928 0,005005956 159,0443

20180 5,954578 0,004996985 159,5344

20200 5,842904 0,004988998 160,0236

20220 5,728737 0,004982859 160,5118

20240 5,611911 0,004979283 160,9988

20260 5,49225 0,004978895 161,4847

20280 5,36959 0,004982173 161,9692

20300 5,243834 0,004988104 162,4523

20320 5,114944 0,004994512 162,9338

20340 4,982867 0,005000532 163,4136

20360 4,847543 0,005005717 163,8916

20380 4,708916 0,005009711 164,3678

20400 4,566928 0,005012333 164,842

20420 4,421529 0,005013883 165,3141

20440 4,272673 0,005014241 165,784

20460 4,12032 0,005012989 166,2517

20480 3,964451 0,005009562 166,7171

20500 3,805091 0,005002528 167,1803

20520 3,642268 0,004989922 167,641

20540 3,476001 0,004971683 168,0994

20560 3,306309 0,004948795 168,5555

20580 3,133211 0,004921645 169,0091

20600 2,956726 0,00489217 169,4602

20620 2,776876 0,004861444 169,9089

20640 2,593689 0,004830897 170,355

20660 2,407193 0,004801691 170,7985

20680 2,21742 0,004774898 171,2394

20700 2,024401 0,004751205 171,6776

20720 1,82817 0,004731208 172,1131

20740 1,628763 0,00471583 172,5458

20760 1,426216 0,004704535 172,9758

20780 1,220572 0,004697084 173,4029

20800 1,01187 0,004693568 173,8272

20820 0,8001559 0,004693359 174,2485

20840 0,5854756 0,00469619 174,6669

20860 0,3678772 0,004701257 175,0823

20880 0,1474107 0,00470826 175,4947

20900 -0,07587226 0,004716516 175,9041

20920 -0,3019187 0,004725695 176,3103

20940 -0,5306744 0,004734993 176,7134

20960 -0,7620838 0,004744291 177,1134

20980 -0,9960904 0,004753083 177,5101

21000 -1,232637 0,004760951 177,9037

21020 -1,471662 0,004767865 178,2941

21040 -1,713107 0,004773527 178,6812

21060 -1,956901 0,004777908 179,065

21080 -2,202972 0,00478065 179,4456

21100 -2,451247 0,004781067 179,8228

21120 -2,701658 0,004780471 180,1968

21140 -2,954136 0,004778087 180,5674

21160 -3,208613 0,004775167 180,9348

21180 -3,465024 0,004771799 181,2987

21200 -3,723304 0,00476861 181,6594

21220 -3,983386 0,004765421 182,0167

21240 -4,245203 0,00476259 182,3707

21260 -4,508687 0,004760265 182,7213

21280 -4,773755 0,004757762 183,0686

21300 -5,040327 0,004755259 183,4126

21320 -5,308326 0,004752815 183,7533

21340 -5,577681 0,004750997 184,0906

21360 -5,84832 0,004750252 184,4245

21380 -6,120173 0,004750907 184,7551

21400 -6,39317 0,004753053 185,0824

21420 -6,667248 0,004756749 185,4063

21440 -6,94235 0,004761636 185,7268

21460 -7,218423 0,004767597 186,0439

21480 -7,495412 0,004773796 186,3577

21500 -7,77326 0,004779696 186,6682

21520 -8,051912 0,004784763 186,9752

21540 -8,331314 0,00478828 187,2789

21560 -8,611412 0,004789889 187,5792

21580 -8,892152 0,004789382 187,8762

21600 -9,17348 0,004786551 188,1698

21620 -9,455339 0,004781127 188,4601

21640 -9,737677 0,004773349 188,7471

21660 -10,02044 0,004763573 189,0307

21680 -10,30356 0,004751891 189,311

21700 -10,58699 0,004738659 189,588

21720 -10,87086 0,004723161 189,8618

21740 -11,15539 0,004691273 190,1328

21760 -11,43823 0,004679233 190,4

21780 -11,71943 0,004689544 190,6635

21800 -11,99901 0,004722655 190,9233

21820 -12,27702 0,00477761 191,1796

21840 -12,55345 0,004851371 191,4323

21860 -12,82836 0,004939348 191,6816

21880 -13,10192 0,00503242 191,9277

21900 -13,37314 0,005139112 192,1702

21920 -13,64205 0,005255163 192,4092

21940 -13,90862 0,00537625 192,6448

21960 -14,17287 0,005497813 192,877

21980 -14,43476 0,00561589 193,1058

22000 -14,69429 0,005726606 193,3313

22020 -14,95141 0,005827785 193,5535

22040 -15,2061 0,005916923 193,7724

22060 -15,45831 0,005992532 193,9881

22080 -15,708 0,006054014 194,2006

22100 -15,95513 0,006101429 194,4099

22120 -16,19964 0,006135404 194,6162

22140 -16,44148 0,006156325 194,8193

22160 -16,68062 0,00616622 195,0194

22180 -16,91699 0,006165624 195,2165

22200 -17,15055 0,006156206 195,4106

22220 -17,38125 0,006139636 195,6018

22240 -17,60903 0,006116748 195,7902

22260 -17,83385 0,006090283 195,9757

22280 -18,05566 0,006060064 196,1584

22300 -18,27442 0,006028235 196,3384

22320 -18,49006 0,005995631 196,5158

22340 -18,70256 0,005962789 196,6905

22360 -18,91217 0,005538911 196,8631

22380 -19,11844 0,005193084 197,0331

22400 -19,32134 0,004917294 197,2005

22420 -19,52084 0,004703909 197,3656

22440 -19,71692 0,004544944 197,5283

22460 -19,90953 0,004432827 197,6888

22480 -20,09867 0,004359961 197,8471

22500 -20,28428 0,004319668 198,0033

22520 -20,46635 0,004305542 198,1574

22540 -20,64484 0,004312336 198,3096

22560 -20,81973 0,00433442 198,4599

22580 -20,99105 0,004367799 198,6083

22600 -21,15932 0,004406631 198,7543

22620 -21,32426 0,004444003 198,8984

22640 -21,48585 0,004478842 199,0404

22660 -21,64404 0,004509896 199,1805

22680 -21,79879 0,004535496 199,3188

22700 -21,95006 0,004555851 199,4554

22720 -22,09664 0,004571259 199,5917

22740 -22,24174 0,004590303 199,7236

22760 -22,38456 0,004574209 199,8523

22780 -22,52495 0,004531592 199,9778

22800 -22,66281 0,004463643 200,1002

22820 -22,79807 0,00437215 200,2197

22840 -22,93064 0,004260719 200,3361

22860 -23,06043 0,004133433 200,4497

22880 -23,18737 0,003993571 200,5604

22900 -23,31136 0,0038459 200,6684

22920 -23,43243 0,003692806 200,7736

22940 -23,55102 0,003529131 200,8759

22960 -23,66848 0,003335327 200,9742

22980 -23,78446 0,003135204 201,0688

23000 -23,89868 0,002938658 201,1596

23020 -24,0109 0,002752662 201,2468

23040 -24,12091 0,002581507 201,3306

23060 -24,22855 0,002428055 201,411

23080 -24,33367 0,002293497 201,4882

23100 -24,43615 0,002178788 201,5623

23120 -24,5359 0,002083212 201,6333

23140 -24,63283 0,002007037 201,7015

23160 -24,72688 0,001949072 201,7667

23180 -24,81798 0,001907915 201,8293

23200 -24,9061 0,001883119 201,8891

23220 -24,99118 0,001872927 201,9463

23240 -25,0732 0,001875937 202,0009

23260 -25,15213 0,00189057 202,0531

23280 -25,22794 0,001915365 202,1027

23300 -25,3006 0,001948744 202,15

23320 -25,3701 0,001989067 202,1948

23340 -25,43641 0,002034545 202,2374

23360 -25,49951 0,002084404 202,2776

23380 -25,55938 0,002136886 202,3156

23400 -25,616 0,002190799 202,3513

23420 -25,66933 0,002245724 202,3849

23440 -25,71936 0,002300411 202,4163

23460 -25,76612 0,002352446 202,4455

23480 -25,80975 0,002398372 202,4724

23500 -25,85025 0,002437413 202,497

23520 -25,88761 0,002469897 202,5192

23540 -25,91925 0,002568364 202,5416

23560 -25,94777 0,002640069 202,5621

23580 -25,97318 0,00269562 202,5804

23600 -25,99548 0,002736568 202,5965

23620 -26,01467 0,002765417 202,6103

23640 -26,03071 0,002783388 202,6219

23660 -26,0436 0,002791703 202,6312

23680 -26,0532 0,002795041 202,6382

23700 -26,05931 0,002795935 202,6426

23720 -26,05989 0,002858281 202,6429

23740 -26,06005 0,002779543 202,643

23760 -26,06009 0,002650648 202,6431

23780 -26,06006 0,002517581 202,6431

23800 -26,05998 0,00241214 202,6431

23820 -26,05985 0,002353609 202,6431

23840 -26,05972 0,002351701 202,643

23860 -26,05957 0,002407551 202,643

23880 -26,05942 0,002515316 202,643

23900 -26,05927 0,002666295 202,6429

23920 -26,05914 0,002848804 202,6429

23940 -26,05902 0,003050685 202,6428

23960 -26,05891 0,003260553 202,6428

23980 -26,05881 0,003467947 202,6428

24000 -26,05872 0,003664643 202,6427

24020 -26,05864 0,003844112 202,6427

24040 -26,05857 0,004001945 202,6427

24060 -26,05851 0,004135579 202,6426

24080 -26,05846 0,00424403 202,6426

24100 -26,05841 0,004327714 202,6426

24120 -26,05837 0,004387587 202,6426

24140 -26,05834 0,004426062 202,6426

24160 -26,05831 0,004445404 202,6426

24180 -26,05829 0,004448146 202,6425

24200 -26,05827 0,004437149 202,6425

24220 -26,05825 0,004414737 202,6425

24240 -26,05824 0,004384279 202,6425

24260 -26,05824 0,004347056 202,6425

24280 -26,05823 0,004305601 202,6425

24300 -26,05823 0,004261553 202,6425

24320 -26,05823 0,004216641 202,6425

24340 -26,05823 0,004171818 202,6425

24360 -26,05823 0,004128367 202,6425

24380 -26,05824 0,004086882 202,6425

24400 -26,05824 0,004048258 202,6425

24420 -26,05824 0,004012674 202,6425

24440 -26,05825 0,003980607 202,6425

24460 -26,05825 0,003952056 202,6425

24480 -26,05826 0,003927171 202,6425

