0 1,924112E-06 1,298075E-09 -8,397331E-10 1

5140 2,048909E-08 1,299282E-09 -1,134215E-10 1

5141 2,048909E-08 1,299282E-09 -1,083646E-10 1

5142 2,048909E-08 1,299283E-09 -1,033332E-10 1

5143 2,048909E-08 1,299283E-09 -9,832735E-11 1

5144 2,048909E-08 1,299283E-09 -9,334693E-11 1

5145 2,048909E-08 1,299284E-09 -8,8392E-11 1

5146 2,048909E-08 1,299284E-09 -8,346256E-11 1

5147 2,048909E-08 1,299284E-09 -7,855859E-11 1

5148 2,048909E-08 1,299284E-09 -7,368009E-11 1

5149 2,048909E-08 1,299285E-09 -6,882706E-11 1

5150 2,048909E-08 1,299285E-09 -6,39995E-11 1

5151 2,048909E-08 1,299285E-09 -5,91974E-11 1

5152 2,048909E-08 1,299285E-09 -5,442078E-11 1

5153 2,048909E-08 1,299286E-09 -4,966961E-11 1

5154 2,048909E-08 1,299286E-09 -4,494391E-11 1

5155 2,048909E-08 1,299286E-09 -4,024368E-11 1

5156 2,048909E-08 1,299286E-09 -3,55689E-11 1

5157 2,048909E-08 1,299287E-09 -3,091957E-11 1

5158 2,048909E-08 1,299287E-09 -2,629569E-11 1

5159 2,048909E-08 1,299287E-09 -2,169727E-11 1

5160 2,048909E-08 1,299288E-09 -1,71243E-11 1

5161 2,048909E-08 1,299288E-09 -1,257677E-11 1

5162 2,048909E-08 1,299288E-09 -8,054697E-12 1

5163 2,048909E-08 1,299288E-09 -3,558063E-12 1

5164 2,048909E-08 1,299289E-09 9,131288E-13 1

5165 2,048909E-08 1,299289E-09 5,358881E-12 1

5166 2,048909E-08 1,299289E-09 9,779197E-12 1

5167 2,048909E-08 1,299289E-09 1,417407E-11 1

5168 2,048909E-08 1,29929E-09 1,854352E-11 1

5169 2,048909E-08 1,29929E-09 2,288753E-11 1

5170 2,048909E-08 1,29929E-09 2,720611E-11 1

5171 2,048909E-08 1,299291E-09 3,149927E-11 1

5172 2,048909E-08 1,299291E-09 3,5767E-11 1

5173 2,048909E-08 1,299291E-09 4,00093E-11 1

5174 2,048909E-08 1,299291E-09 4,422618E-11 1

5175 2,048909E-08 1,299292E-09 4,841764E-11 1

5176 2,048909E-08 1,299292E-09 5,258369E-11 1

5177 2,048909E-08 1,299292E-09 5,672431E-11 1

5178 2,048909E-08 1,299292E-09 6,083952E-11 1

5179 2,048909E-08 1,299293E-09 6,492933E-11 1

5180 2,048909E-08 1,299293E-09 6,899372E-11 1

5181 2,048909E-08 1,299293E-09 7,30327E-11 1

5182 2,048909E-08 1,299294E-09 7,704627E-11 1

5183 2,048909E-08 1,299294E-09 8,103445E-11 1

5184 2,048909E-08 1,299294E-09 8,499721E-11 1

5185 2,048909E-08 1,299294E-09 8,893457E-11 1

5186 2,048909E-08 1,299295E-09 9,284654E-11 1

5187 2,048909E-08 1,299295E-09 9,673311E-11 1

5188 2,048909E-08 1,299295E-09 1,005943E-10 1

5189 2,048909E-08 1,299295E-09 1,044301E-10 1

5190 2,048909E-08 1,299296E-09 1,082405E-10 1

5191 2,048909E-08 1,299296E-09 1,120255E-10 1

5192 2,048909E-08 1,299296E-09 1,157851E-10 1

5193 2,048909E-08 1,299296E-09 1,195193E-10 1

5194 2,048909E-08 1,299297E-09 1,232282E-10 1

5195 2,048909E-08 1,299297E-09 1,269116E-10 1

5196 2,048909E-08 1,299297E-09 1,305697E-10 1

5197 2,048909E-08 1,299298E-09 1,342025E-10 1

5198 2,048909E-08 1,299298E-09 1,378098E-10 1

5199 2,048909E-08 1,299298E-09 1,413918E-10 1

5200 2,048909E-08 1,299298E-09 1,449484E-10 1

5201 2,048909E-08 1,299299E-09 1,484796E-10 1

5202 2,048909E-08 1,299299E-09 1,519854E-10 1

5203 2,048909E-08 1,299299E-09 1,554659E-10 1

5204 2,048909E-08 1,299299E-09 1,589211E-10 1

5205 2,048909E-08 1,2993E-09 1,623508E-10 1

5206 2,048909E-08 1,2993E-09 1,657552E-10 1

5207 2,048909E-08 1,2993E-09 1,691343E-10 1

5208 2,048909E-08 1,299301E-09 1,72488E-10 1

5209 2,048909E-08 1,299301E-09 1,758163E-10 1

5210 2,048909E-08 1,299301E-09 1,791193E-10 1

5211 2,048909E-08 1,299301E-09 1,823969E-10 1

5212 2,048909E-08 1,299302E-09 1,856492E-10 1

5213 2,048909E-08 1,299302E-09 1,888762E-10 1

5214 2,048909E-08 1,299302E-09 1,920778E-10 1

5215 2,048909E-08 1,299302E-09 1,95254E-10 1

5216 2,048909E-08 1,299303E-09 1,984049E-10 1

5217 2,048909E-08 1,299303E-09 2,015305E-10 1

5218 2,048909E-08 1,299303E-09 2,046308E-10 1

5219 2,048909E-08 1,299304E-09 2,077057E-10 1

5220 2,048909E-08 1,299304E-09 2,107553E-10 1

5221 2,048909E-08 1,299304E-09 2,137795E-10 1

5222 2,048909E-08 1,299305E-09 2,167785E-10 1

5223 2,048909E-08 1,299305E-09 2,197521E-10 1

5224 2,048909E-08 1,299305E-09 2,227003E-10 1

5225 2,048909E-08 1,299305E-09 2,256233E-10 1

5226 2,048909E-08 1,299306E-09 2,285209E-10 1

5227 2,048909E-08 1,299306E-09 2,313932E-10 1

5228 2,048909E-08 1,299306E-09 2,342402E-10 1

5229 2,048909E-08 1,299307E-09 2,370619E-10 1

5230 2,048909E-08 1,299307E-09 2,398583E-10 1

5231 2,048909E-08 1,299307E-09 2,426294E-10 1

5232 2,048909E-08 1,299307E-09 2,453751E-10 1

5233 2,048909E-08 1,299308E-09 2,480955E-10 1

5234 2,048909E-08 1,299308E-09 2,507907E-10 1

5235 2,048909E-08 1,299308E-09 2,534605E-10 1

5236 2,048909E-08 1,299309E-09 2,561051E-10 1

5237 2,048909E-08 1,299309E-09 2,587243E-10 1

5238 2,048909E-08 1,299309E-09 2,613182E-10 1

5239 2,048909E-08 1,299309E-09 2,638869E-10 1

5240 2,048909E-08 1,29931E-09 2,664303E-10 1

5241 2,048909E-08 1,29931E-09 2,689483E-10 1

5242 2,048909E-08 1,29931E-09 2,714411E-10 1

5243 2,048909E-08 1,299311E-09 2,739086E-10 1

5244 2,048909E-08 1,299311E-09 2,763508E-10 1

5245 2,048909E-08 1,299311E-09 2,787678E-10 1

5246 2,048909E-08 1,299311E-09 2,811594E-10 1

5247 2,048909E-08 1,299312E-09 2,835258E-10 1

5248 2,048909E-08 1,299312E-09 2,858668E-10 1

5249 2,048909E-08 1,299312E-09 2,881827E-10 1

5250 2,048909E-08 1,299313E-09 2,904732E-10 1

5251 2,048909E-08 1,299313E-09 2,927384E-10 1

5252 2,048909E-08 1,299313E-09 2,949785E-10 1

5253 2,048909E-08 1,299313E-09 2,971932E-10 1

5254 2,048909E-08 1,299314E-09 2,993827E-10 1

5255 2,048909E-08 1,299314E-09 3,015468E-10 1

5256 2,048909E-08 1,299314E-09 3,036858E-10 1

5257 2,048909E-08 1,299315E-09 3,057995E-10 1

5258 2,048909E-08 1,299315E-09 3,078879E-10 1

5259 2,048909E-08 1,299315E-09 3,09951E-10 1

5260 2,048909E-08 1,299315E-09 3,11989E-10 1

5261 2,048909E-08 1,299316E-09 3,140016E-10 1

5262 2,048909E-08 1,299316E-09 3,15989E-10 1

5263 2,048909E-08 1,299316E-09 3,179512E-10 1

5264 2,048909E-08 1,299317E-09 3,198881E-10 1

5265 2,048909E-08 1,299317E-09 3,217998E-10 1

5266 2,048909E-08 1,299317E-09 3,236862E-10 1

5267 2,048909E-08 1,299317E-09 3,255474E-10 1

5268 2,048909E-08 1,299318E-09 3,273834E-10 1

5269 2,048909E-08 1,299318E-09 3,291941E-10 1

5270 2,048909E-08 1,299318E-09 3,309796E-10 1

5271 2,048909E-08 1,299318E-09 3,327399E-10 1

5272 2,048909E-08 1,299319E-09 3,344749E-10 1

5273 2,048909E-08 1,299319E-09 3,361847E-10 1

5274 2,048909E-08 1,299319E-09 3,378693E-10 1

5275 2,048909E-08 1,29932E-09 3,395287E-10 1

5276 2,048909E-08 1,29932E-09 3,411628E-10 1

5277 2,048909E-08 1,29932E-09 3,427717E-10 1

5278 2,048909E-08 1,29932E-09 3,443554E-10 1

5279 2,048909E-08 1,299321E-09 3,459139E-10 1

5280 2,048909E-08 1,299321E-09 3,474471E-10 1

5281 2,048909E-08 1,299321E-09 3,489551E-10 1

5282 2,048909E-08 1,299322E-09 3,504379E-10 1

5283 2,048909E-08 1,299322E-09 3,518956E-10 1

5284 2,048909E-08 1,299322E-09 3,53328E-10 1

5285 2,048909E-08 1,299323E-09 3,547352E-10 1

5286 2,048909E-08 1,299323E-09 3,561172E-10 1

5287 2,048909E-08 1,299323E-09 3,574741E-10 1

5288 2,048909E-08 1,299323E-09 3,588057E-10 1

5289 2,048909E-08 1,299324E-09 3,601121E-10 1

5290 2,048909E-08 1,299324E-09 3,613933E-10 1

5291 2,048909E-08 1,299324E-09 3,626493E-10 1

5292 2,048909E-08 1,299325E-09 3,638801E-10 1

5293 2,048909E-08 1,299325E-09 3,650858E-10 1

5294 2,048909E-08 1,299325E-09 3,662662E-10 1

5295 2,048909E-08 1,299325E-09 3,674215E-10 1

5296 2,048909E-08 1,299326E-09 3,685516E-10 1

5297 2,048909E-08 1,299326E-09 3,696565E-10 1

5298 2,048909E-08 1,299326E-09 3,707363E-10 1

5299 2,048909E-08 1,299326E-09 3,717908E-10 1

5300 2,048909E-08 1,299327E-09 3,728202E-10 1

5301 2,048909E-08 1,299327E-09 3,738244E-10 1

5302 2,048909E-08 1,299327E-09 3,748035E-10 1

5303 2,048909E-08 1,299327E-09 3,757573E-10 1

5304 2,048909E-08 1,299328E-09 3,76686E-10 1

5305 2,048909E-08 1,299328E-09 3,775895E-10 1

5306 2,048909E-08 1,299328E-09 3,784679E-10 1

5307 2,048909E-08 1,299329E-09 3,793211E-10 1

5308 2,048909E-08 1,299329E-09 3,801491E-10 1

5309 2,048909E-08 1,299329E-09 3,80952E-10 1

5310 2,048909E-08 1,29933E-09 3,817298E-10 1

5311 2,048909E-08 1,29933E-09 3,824823E-10 1

5312 2,048909E-08 1,29933E-09 3,832097E-10 1

5313 2,048909E-08 1,299331E-09 3,83912E-10 1

5314 2,048909E-08 1,299331E-09 3,845891E-10 1

5315 2,048909E-08 1,299331E-09 3,852411E-10 1

5316 2,048909E-08 1,299331E-09 3,858679E-10 1

5317 2,048909E-08 1,299332E-09 3,864696E-10 1

5318 2,048909E-08 1,299332E-09 3,870462E-10 1

5319 2,048909E-08 1,299332E-09 3,875976E-10 1

5320 2,048909E-08 1,299333E-09 3,881239E-10 1

5321 2,048909E-08 1,299333E-09 3,88625E-10 1

5322 2,048909E-08 1,299333E-09 3,89101E-10 1

5323 2,048909E-08 1,299333E-09 3,895519E-10 1

5324 2,048909E-08 1,299334E-09 3,899776E-10 1

5325 2,048909E-08 1,299334E-09 3,903783E-10 1

5326 2,048909E-08 1,299334E-09 3,907538E-10 1

5327 2,048909E-08 1,299334E-09 3,911041E-10 1

5328 2,048909E-08 1,299335E-09 3,914294E-10 1

5329 2,048909E-08 1,299335E-09 3,917296E-10 1

5330 2,048909E-08 1,299335E-09 3,920046E-10 1

5331 2,048909E-08 1,299336E-09 3,922545E-10 1

5332 2,048909E-08 1,299336E-09 3,924793E-10 1

5333 2,048909E-08 1,299336E-09 3,92679E-10 1

5334 2,048909E-08 1,299336E-09 3,928536E-10 1

5335 2,048909E-08 1,299337E-09 3,93003E-10 1

5336 2,048909E-08 1,299337E-09 3,931274E-10 1

5337 2,048909E-08 1,299337E-09 3,932266E-10 1

5338 2,048909E-08 1,299338E-09 3,933008E-10 1

5339 2,048909E-08 1,299338E-09 3,933499E-10 1

5340 2,048909E-08 1,299338E-09 3,933738E-10 1

5341 2,048909E-08 1,299338E-09 3,933727E-10 1

5342 2,048909E-08 1,299339E-09 3,933464E-10 1

5343 2,048909E-08 1,299339E-09 3,932951E-10 1

5344 2,048909E-08 1,299339E-09 3,932187E-10 1

5345 2,048909E-08 1,29934E-09 3,931172E-10 1

5346 2,048909E-08 1,29934E-09 3,929906E-10 1

5347 2,048909E-08 1,29934E-09 3,928389E-10 1

5348 2,048909E-08 1,29934E-09 3,926622E-10 1

5349 2,048909E-08 1,299341E-09 3,924603E-10 1

5350 2,048909E-08 1,299341E-09 3,922334E-10 1

5351 2,048909E-08 1,299341E-09 3,919815E-10 1

5352 2,048909E-08 1,299342E-09 3,917044E-10 1

5353 2,048909E-08 1,299342E-09 3,914023E-10 1

5354 2,048909E-08 1,299342E-09 3,910751E-10 1

5355 2,048909E-08 1,299342E-09 3,907228E-10 1

5356 2,048909E-08 1,299343E-09 3,903455E-10 1

5357 2,048909E-08 1,299343E-09 3,899431E-10 1

5358 2,048909E-08 1,299343E-09 3,895156E-10 1

5359 2,048909E-08 1,299343E-09 3,890631E-10 1

5360 2,048909E-08 1,299344E-09 3,885855E-10 1

5361 2,048909E-08 1,299344E-09 3,880829E-10 1

5362 2,048909E-08 1,299344E-09 3,875552E-10 1

5363 2,048909E-08 1,299345E-09 3,870024E-10 1

5364 2,048909E-08 1,299345E-09 3,864246E-10 1

5365 2,048909E-08 1,299345E-09 3,858218E-10 1

5366 2,048909E-08 1,299345E-09 3,851939E-10 1

5367 2,048909E-08 1,299346E-09 3,845409E-10 1

5368 2,048909E-08 1,299346E-09 3,838629E-10 1

5369 2,048909E-08 1,299346E-09 3,831599E-10 1

5370 2,048909E-08 1,299347E-09 3,824318E-10 1

5371 2,048909E-08 1,299347E-09 3,816787E-10 1

5372 2,048909E-08 1,299347E-09 3,809006E-10 1

5373 2,048909E-08 1,299347E-09 3,800974E-10 1

5374 2,048909E-08 1,299348E-09 3,792693E-10 1

5375 2,048909E-08 1,299348E-09 3,78416E-10 1

5376 2,048909E-08 1,299348E-09 3,775378E-10 1

5377 2,048909E-08 1,299348E-09 3,766344E-10 1

5378 2,048909E-08 1,299349E-09 3,757061E-10 1

5379 2,048909E-08 1,299349E-09 3,747528E-10 1

5380 2,048909E-08 1,299349E-09 3,737745E-10 1

5381 2,048909E-08 1,29935E-09 3,727711E-10 1

5382 2,048909E-08 1,29935E-09 3,717427E-10 1

5383 2,048909E-08 1,29935E-09 3,706893E-10 1

5384 2,048909E-08 1,299351E-09 3,696109E-10 1

5385 2,048909E-08 1,299351E-09 3,685075E-10 1

5386 2,048909E-08 1,299351E-09 3,673791E-10 1

5387 2,048909E-08 1,299351E-09 3,662256E-10 1

5388 2,048909E-08 1,299352E-09 3,650472E-10 1

5389 2,048909E-08 1,299352E-09 3,638438E-10 1

5390 2,048909E-08 1,299352E-09 3,626153E-10 1

5391 2,048909E-08 1,299353E-09 3,613619E-10 1

5392 2,048909E-08 1,299353E-09 3,600835E-10 1

5393 2,048909E-08 1,299353E-09 3,5878E-10 1

5394 2,048909E-08 1,299354E-09 3,574516E-10 1

5395 2,048909E-08 1,299354E-09 3,560982E-10 1

5396 2,048909E-08 1,299354E-09 3,547198E-10 1

5397 2,048909E-08 1,299354E-09 3,533164E-10 1

5398 2,048909E-08 1,299355E-09 3,518881E-10 1

5399 2,048909E-08 1,299355E-09 3,504347E-10 1

5400 2,048909E-08 1,299355E-09 3,489564E-10 1

5401 2,048909E-08 1,299356E-09 3,474531E-10 1

5402 2,048909E-08 1,299356E-09 3,459248E-10 1

5403 2,048909E-08 1,299356E-09 3,443715E-10 1

5404 2,048909E-08 1,299356E-09 3,427933E-10 1

5405 2,048909E-08 1,299357E-09 3,4119E-10 1

5406 2,048909E-08 1,299357E-09 3,395619E-10 1

5407 2,048909E-08 1,299357E-09 3,379087E-10 1

5408 2,048909E-08 1,299357E-09 3,362306E-10 1

5409 2,048909E-08 1,299358E-09 3,345275E-10 1

5410 2,048909E-08 1,299358E-09 3,327995E-10 1

5411 2,048909E-08 1,299358E-09 3,310465E-10 1

5412 2,048909E-08 1,299359E-09 3,292685E-10 1

5413 2,048909E-08 1,299359E-09 3,274656E-10 1

5414 2,048909E-08 1,299359E-09 3,256377E-10 1

5415 2,048909E-08 1,299359E-09 3,237848E-10 1

5416 2,048909E-08 1,29936E-09 3,219071E-10 1

5417 2,048909E-08 1,29936E-09 3,200044E-10 1

5418 2,048909E-08 1,29936E-09 3,180767E-10 1

5419 2,048909E-08 1,299361E-09 3,161241E-10 1

5420 2,048909E-08 1,299361E-09 3,141465E-10 1

5421 2,048909E-08 1,299361E-09 3,12144E-10 1

5422 2,048909E-08 1,299362E-09 3,101166E-10 1

5423 2,048909E-08 1,299362E-09 3,080642E-10 1

5424 2,048909E-08 1,299362E-09 3,059869E-10 1

5425 2,048909E-08 1,299363E-09 3,038847E-10 1

5426 2,048909E-08 1,299363E-09 3,017575E-10 1

5427 2,048909E-08 1,299363E-09 2,996054E-10 1

5428 2,048909E-08 1,299363E-09 2,974284E-10 1

5429 2,048909E-08 1,299364E-09 2,952265E-10 1

5430 2,048909E-08 1,299364E-09 2,929996E-10 1

5431 2,048909E-08 1,299364E-09 2,907478E-10 1

5432 2,048909E-08 1,299364E-09 2,884711E-10 1

5433 2,048909E-08 1,299365E-09 2,861694E-10 1

5434 2,048909E-08 1,299365E-09 2,838429E-10 1

5435 2,048909E-08 1,299365E-09 2,814914E-10 1

5436 2,048909E-08 1,299366E-09 2,79115E-10 1

5437 2,048909E-08 1,299366E-09 2,767137E-10 1

5438 2,048909E-08 1,299366E-09 2,742876E-10 1

5439 2,048909E-08 1,299366E-09 2,718365E-10 1

5440 2,048909E-08 1,299367E-09 2,693605E-10 1

5441 2,048909E-08 1,299367E-09 2,668596E-10 1

5442 2,048909E-08 1,299367E-09 2,643338E-10 1

5443 2,048909E-08 1,299368E-09 2,61783E-10 1

5444 2,048909E-08 1,299368E-09 2,592075E-10 1

5445 2,048909E-08 1,299368E-09 2,56607E-10 1

5446 2,048909E-08 1,299369E-09 2,539816E-10 1

5447 2,048909E-08 1,299369E-09 2,513313E-10 1

5448 2,048909E-08 1,299369E-09 2,486562E-10 1

5449 2,048909E-08 1,299369E-09 2,459561E-10 1

5450 2,048909E-08 1,29937E-09 2,432312E-10 1

5451 2,048909E-08 1,29937E-09 2,404814E-10 1

5452 2,048909E-08 1,29937E-09 2,377067E-10 1

5453 2,048909E-08 1,29937E-09 2,349071E-10 1

5454 2,048909E-08 1,299371E-09 2,320827E-10 1

5455 2,048909E-08 1,299371E-09 2,292333E-10 1

5456 2,048909E-08 1,299371E-09 2,263591E-10 1

5457 2,048909E-08 1,299372E-09 2,234601E-10 1

5458 2,048909E-08 1,299372E-09 2,205361E-10 1

5459 2,048909E-08 1,299372E-09 2,175873E-10 1

5460 2,048909E-08 1,299372E-09 2,146137E-10 1

5461 2,048909E-08 1,299373E-09 2,116151E-10 1

5462 2,048909E-08 1,299373E-09 2,085917E-10 1

5463 2,048909E-08 1,299373E-09 2,055435E-10 1

5464 2,048909E-08 1,299374E-09 2,024703E-10 1

5465 2,048909E-08 1,299374E-09 1,993724E-10 1

5466 2,048909E-08 1,299374E-09 1,962495E-10 1

5467 2,048909E-08 1,299374E-09 1,931019E-10 1

5468 2,048909E-08 1,299375E-09 1,899294E-10 1

5469 2,048909E-08 1,299375E-09 1,86732E-10 1

5470 2,048909E-08 1,299375E-09 1,835098E-10 1

5471 2,048909E-08 1,299376E-09 1,802627E-10 1

5472 2,048909E-08 1,299376E-09 1,769908E-10 1

5473 2,048909E-08 1,299376E-09 1,736941E-10 1

5474 2,048909E-08 1,299377E-09 1,703725E-10 1

5475 2,048909E-08 1,299377E-09 1,670261E-10 1

5476 2,048909E-08 1,299377E-09 1,636548E-10 1

5477 2,048909E-08 1,299377E-09 1,602587E-10 1

5478 2,048909E-08 1,299378E-09 1,568378E-10 1

5479 2,048909E-08 1,299378E-09 1,53392E-10 1

5480 2,048909E-08 1,299378E-09 1,499215E-10 1

5481 2,048909E-08 1,299378E-09 1,464261E-10 1

5482 2,048909E-08 1,299379E-09 1,429059E-10 1

5483 2,048909E-08 1,299379E-09 1,393608E-10 1

5484 2,048909E-08 1,299379E-09 1,35791E-10 1

5485 2,048909E-08 1,29938E-09 1,321963E-10 1

5486 2,048909E-08 1,29938E-09 1,285768E-10 1

5487 2,048909E-08 1,29938E-09 1,249325E-10 1

5488 2,048909E-08 1,299381E-09 1,212634E-10 1

5489 2,048909E-08 1,299381E-09 1,175694E-10 1

5490 2,048909E-08 1,299381E-09 1,138507E-10 1

5491 2,048909E-08 1,299381E-09 1,101072E-10 1

5492 2,048909E-08 1,299382E-09 1,063388E-10 1

5493 2,048909E-08 1,299382E-09 1,025457E-10 1

5494 2,048909E-08 1,299382E-09 9,872773E-11 1

5495 2,048909E-08 1,299383E-09 9,488499E-11 1

5496 2,048909E-08 1,299383E-09 9,101746E-11 1

5497 2,048909E-08 1,299383E-09 8,712513E-11 1

5498 2,048909E-08 1,299384E-09 8,320802E-11 1

5499 2,048909E-08 1,299384E-09 7,92661E-11 1

5500 2,048909E-08 1,299384E-09 7,529939E-11 1

5501 2,048909E-08 1,299384E-09 7,13079E-11 1

5502 2,048909E-08 1,299385E-09 6,729163E-11 1

5503 2,048909E-08 1,299385E-09 6,325057E-11 1

5504 2,048909E-08 1,299385E-09 5,918474E-11 1

5505 2,048909E-08 1,299385E-09 5,509412E-11 1

5506 2,048909E-08 1,299386E-09 5,097873E-11 1

5507 2,048909E-08 1,299386E-09 4,683857E-11 1

5508 2,048909E-08 1,299386E-09 4,267363E-11 1

5509 2,048909E-08 1,299387E-09 3,848392E-11 1

5510 2,048909E-08 1,299387E-09 3,426944E-11 1

5511 2,048909E-08 1,299387E-09 3,003019E-11 1

5512 2,048909E-08 1,299388E-09 2,576618E-11 1

5513 2,048909E-08 1,299388E-09 2,147741E-11 1

5514 2,048909E-08 1,299388E-09 1,716387E-11 1

5515 2,048909E-08 1,299388E-09 1,282558E-11 1

5516 2,048909E-08 1,299389E-09 8,462528E-12 1

5517 2,048909E-08 1,299389E-09 4,074719E-12 1

5518 2,048909E-08 1,299389E-09 -3,378426E-13 1

5519 2,048909E-08 1,29939E-09 -4,775156E-12 1

5520 2,048909E-08 1,29939E-09 -9,237221E-12 1

5521 2,048909E-08 1,29939E-09 -1,372403E-11 1

5522 2,048909E-08 1,299391E-09 -1,823558E-11 1

5523 2,048909E-08 1,299391E-09 -2,277189E-11 1

5524 2,048909E-08 1,299391E-09 -2,733293E-11 1

5525 2,048909E-08 1,299391E-09 -3,191871E-11 1

5526 2,048909E-08 1,299392E-09 -3,652924E-11 1

5527 2,048909E-08 1,299392E-09 -4,11645E-11 1

5528 2,048909E-08 1,299392E-09 -4,582449E-11 1

5529 2,048909E-08 1,299392E-09 -5,050922E-11 1

5530 2,048909E-08 1,299393E-09 -5,521868E-11 1

5531 2,048909E-08 1,299393E-09 -5,995286E-11 1

5532 2,048909E-08 1,299393E-09 -6,471178E-11 1

5533 2,048909E-08 1,299394E-09 -6,949542E-11 1

5534 2,048909E-08 1,299394E-09 -7,430378E-11 1

5535 2,048909E-08 1,299394E-09 -7,913686E-11 1

5536 2,048909E-08 1,299394E-09 -8,399467E-11 1

5537 2,048909E-08 1,299395E-09 -8,887717E-11 1

5538 2,048909E-08 1,299395E-09 -9,378441E-11 1

5539 2,048909E-08 1,299395E-09 -9,871635E-11 1

5540 2,048909E-08 1,299396E-09 -1,03673E-10 1

5541 2,048909E-08 1,299396E-09 -1,086544E-10 1

5542 2,048909E-08 1,299396E-09 -1,136605E-10 1

5543 2,048909E-08 1,299396E-09 -1,186912E-10 1

5544 2,048909E-08 1,299397E-09 -1,237467E-10 1

5545 2,048909E-08 1,299397E-09 -1,288269E-10 1

5546 2,048909E-08 1,299397E-09 -1,339318E-10 1

5547 2,048909E-08 1,299398E-09 -1,390614E-10 1

5548 2,048909E-08 1,299398E-09 -1,442157E-10 1

5549 2,048909E-08 1,299398E-09 -1,493946E-10 1

5550 2,048909E-08 1,299398E-09 -1,545983E-10 1

5551 2,048909E-08 1,299399E-09 -1,598267E-10 1

5552 2,048909E-08 1,299399E-09 -1,650797E-10 1

5553 2,048909E-08 1,299399E-09 -1,703575E-10 1

5554 2,048909E-08 1,2994E-09 -1,756599E-10 1

5555 2,048909E-08 1,2994E-09 -1,80987E-10 1

5556 2,048909E-08 1,2994E-09 -1,863387E-10 1

5557 2,048909E-08 1,2994E-09 -1,917152E-10 1

5558 2,048909E-08 1,299401E-09 -1,971163E-10 1

5559 2,048909E-08 1,299401E-09 -2,025421E-10 1

5560 2,048909E-08 1,299401E-09 -2,079926E-10 1

5561 2,048909E-08 1,299401E-09 -2,134678E-10 1

5562 2,048909E-08 1,299402E-09 -2,189676E-10 1

5563 2,048909E-08 1,299402E-09 -2,244921E-10 1

5564 2,048909E-08 1,299402E-09 -2,300413E-10 1

5565 2,048909E-08 1,299403E-09 -2,356151E-10 1

5566 2,048909E-08 1,299403E-09 -2,412136E-10 1

5567 2,048909E-08 1,299403E-09 -2,468367E-10 1

5568 2,048909E-08 1,299404E-09 -2,524845E-10 1

5569 2,048909E-08 1,299404E-09 -2,58157E-10 1

5570 2,048909E-08 1,299404E-09 -2,638541E-10 1

5571 2,048909E-08 1,299404E-09 -2,695759E-10 1

5572 2,048909E-08 1,299405E-09 -2,753223E-10 1

5573 2,048909E-08 1,299405E-09 -2,810934E-10 1

5574 2,048909E-08 1,299405E-09 -2,868891E-10 1

5575 2,048909E-08 1,299406E-09 -2,927095E-10 1

5576 2,048909E-08 1,299406E-09 -2,985544E-10 1

5577 2,048909E-08 1,299406E-09 -3,044241E-10 1

5578 2,048909E-08 1,299406E-09 -3,103184E-10 1

5579 2,048909E-08 1,299407E-09 -3,162373E-10 1

5580 2,048909E-08 1,299407E-09 -3,221808E-10 1

5581 2,048909E-08 1,299407E-09 -3,28149E-10 1

5582 2,048909E-08 1,299408E-09 -3,341419E-10 1

5583 2,048909E-08 1,299408E-09 -3,401593E-10 1

5584 2,048909E-08 1,299408E-09 -3,462013E-10 1

5585 2,048909E-08 1,299408E-09 -3,52268E-10 1

5586 2,048909E-08 1,299409E-09 -3,583593E-10 1

5587 2,048909E-08 1,299409E-09 -3,644753E-10 1

5588 2,048909E-08 1,299409E-09 -3,706159E-10 1

5589 2,048909E-08 1,29941E-09 -3,767811E-10 1

5590 2,048909E-08 1,29941E-09 -3,829708E-10 1

5591 2,048909E-08 1,29941E-09 -3,891853E-10 1

5592 2,048909E-08 1,29941E-09 -3,954243E-10 1

5593 2,048909E-08 1,299411E-09 -4,016879E-10 1

5594 2,048909E-08 1,299411E-09 -4,079762E-10 1

5595 2,048909E-08 1,299411E-09 -4,14289E-10 1

5596 2,048909E-08 1,299412E-09 -4,206265E-10 1

5597 2,048909E-08 1,299412E-09 -4,269885E-10 1

5598 2,048909E-08 1,299412E-09 -4,333752E-10 1

5599 2,048909E-08 1,299412E-09 -4,397864E-10 1

5600 2,048909E-08 1,299413E-09 -4,462223E-10 1

5601 2,048909E-08 1,299413E-09 -4,526827E-10 1

