0 1,924112E-06 1,298075E-09 -8,397331E-10 1
290 -6,519257E-08 1,297955E-09 -1,013215E-09 1

291 -7,078051E-08 1,298068E-09 -1,02687E-09 1

292 -7,636844E-08 1,298169E-09 -1,033318E-09 1

293 -8,195638E-08 1,298217E-09 -1,037306E-09 1

294 -8,754431E-08 1,29824E-09 -1,040446E-09 1

295 -9,313224E-08 1,298251E-09 -1,043305E-09 1

296 -9,872018E-08 1,298256E-09 -1,046081E-09 1

297 -1,043081E-07 1,298259E-09 -1,048844E-09 1

298 -1,080334E-07 1,298287E-09 -1,0514E-09 1

299 -1,117587E-07 1,298295E-09 -1,054003E-09 1

300 -1,15484E-07 1,298299E-09 -1,05664E-09 1

301 -1,192093E-07 1,2983E-09 -1,059305E-09 1

302 -1,229346E-07 1,298325E-09 -1,061882E-09 1

303 -1,266599E-07 1,298332E-09 -1,064488E-09 1

304 -1,303851E-07 1,298336E-09 -1,067118E-09 1

305 -1,341104E-07 1,298338E-09 -1,069767E-09 1

306 -1,378357E-07 1,298339E-09 -1,072436E-09 1

307 -1,41561E-07 1,298341E-09 -1,075124E-09 1

308 -1,452863E-07 1,298342E-09 -1,077831E-09 1

309 -1,490116E-07 1,29837E-09 -1,080451E-09 1

310 -1,527369E-07 1,298378E-09 -1,0831E-09 1

311 -1,564622E-07 1,298382E-09 -1,085772E-09 1

312 -1,601875E-07 1,298385E-09 -1,088464E-09 1

313 -1,639128E-07 1,298387E-09 -1,091175E-09 1

314 -1,67638E-07 1,298389E-09 -1,093906E-09 1

315 -1,713633E-07 1,298413E-09 -1,096549E-09 1

316 -1,750886E-07 1,298421E-09 -1,099229E-09 1

317 -1,788139E-07 1,298425E-09 -1,10194E-09 1

318 -1,825392E-07 1,298427E-09 -1,104678E-09 1

319 -1,862645E-07 1,298433E-09 -1,107434E-09 1

320 -1,899898E-07 1,298203E-09 -1,036364E-09 1

321 -1,937151E-07 1,298317E-09 -1,049936E-09 1

322 -1,974404E-07 1,298397E-09 -1,056421E-09 1

323 -2,011656E-07 1,29844E-09 -1,060429E-09 1

324 -2,048909E-07 1,298463E-09 -1,063579E-09 1

325 -2,086162E-07 1,298475E-09 -1,066441E-09 1

326 -2,123415E-07 1,298481E-09 -1,069213E-09 1

327 -2,160668E-07 1,298486E-09 -1,071966E-09 1

328 -2,197921E-07 1,298511E-09 -1,074512E-09 1

329 -2,235174E-07 1,29852E-09 -1,077107E-09 1

330 -2,272427E-07 1,298524E-09 -1,079736E-09 1

331 -2,30968E-07 1,298527E-09 -1,082394E-09 1

332 -2,346933E-07 1,298555E-09 -1,08485E-09 1

333 -2,384186E-07 1,298565E-09 -1,08736E-09 1

334 -2,421438E-07 1,29857E-09 -1,089906E-09 1

335 -2,458691E-07 1,298573E-09 -1,092481E-09 1

336 -2,495944E-07 1,298576E-09 -1,095082E-09 1

337 -2,533197E-07 1,298583E-09 -1,097701E-09 1

338 -2,57045E-07 1,298586E-09 -1,100338E-09 1

339 -2,607703E-07 1,29859E-09 -1,102993E-09 1

340 -2,644956E-07 1,298593E-09 -1,105666E-09 1

341 -2,682209E-07 1,298618E-09 -1,108146E-09 1

342 -2,719462E-07 1,298627E-09 -1,11068E-09 1

343 -2,756715E-07 1,298398E-09 -1,039397E-09 1

344 -2,793967E-07 1,298514E-09 -1,052769E-09 1

345 -2,83122E-07 1,298595E-09 -1,059061E-09 1

346 -2,868473E-07 1,29864E-09 -1,062883E-09 1

347 -2,905726E-07 1,298663E-09 -1,065855E-09 1

348 -2,942979E-07 1,298676E-09 -1,068544E-09 1

349 -2,980232E-07 1,298684E-09 -1,07115E-09 1

350 -3,017485E-07 1,298689E-09 -1,073742E-09 1

351 -3,054738E-07 1,298693E-09 -1,076347E-09 1

352 -3,091991E-07 1,298697E-09 -1,078971E-09 1

353 -3,129244E-07 1,2987E-09 -1,081619E-09 1

354 -3,166496E-07 1,298726E-09 -1,084079E-09 1

355 -3,203749E-07 1,298761E-09 -1,086364E-09 1

356 -3,241002E-07 1,298773E-09 -1,088713E-09 1

357 -3,278255E-07 1,298779E-09 -1,0911E-09 1

358 -3,315508E-07 1,298784E-09 -1,093517E-09 1

359 -3,352761E-07 1,298788E-09 -1,095962E-09 1

360 -3,390014E-07 1,298792E-09 -1,098431E-09 1

361 -3,427267E-07 1,298796E-09 -1,100926E-09 1

362 -3,46452E-07 1,2988E-09 -1,103446E-09 1

363 -3,483146E-07 1,298803E-09 -1,105991E-09 1

364 -3,501773E-07 1,298807E-09 -1,10856E-09 1

365 -3,520399E-07 1,298811E-09 -1,111155E-09 1

366 -3,539025E-07 1,298815E-09 -1,113775E-09 1

367 -3,557652E-07 1,298819E-09 -1,116419E-09 1

368 -3,576278E-07 1,298823E-09 -1,119088E-09 1

369 -3,594905E-07 1,298593E-09 -1,047816E-09 1

370 -3,613531E-07 1,298709E-09 -1,061212E-09 1

371 -3,632157E-07 1,298555E-09 -9,935732E-10 1

372 -3,650784E-07 1,298711E-09 -1,007979E-09 1

373 -3,66941E-07 1,298811E-09 -1,014445E-09 1

374 -3,688037E-07 1,298866E-09 -1,018135E-09 1

375 -3,706663E-07 1,298895E-09 -1,020864E-09 1

376 -3,72529E-07 1,29891E-09 -1,023266E-09 1

377 -3,743916E-07 1,298919E-09 -1,025566E-09 1

378 -3,762543E-07 1,298926E-09 -1,027843E-09 1

