0 1,060008E-05 1,151933E-08 2,176664E-10 1
5054 4,131114E-06 9,817717E-08 4,644112E-10 1

5073 4,129717E-06 9,817676E-08 4,102995E-10 1

5092 4,130648E-06 9,81772E-08 3,722013E-10 1

5111 4,129484E-06 9,817683E-08 2,62619E-10 1

5130 4,12832E-06 9,817685E-08 1,523062E-10 1

5149 4,127389E-06 9,817686E-08 4,197356E-11 1

5168 4,128786E-06 9,817732E-08 -3,270344E-11 1

5187 4,12832E-06 9,817696E-08 -1,050366E-10 1

5206 4,130416E-06 9,81774E-08 -1,427617E-10 1

5225 4,132744E-06 9,817749E-08 -1,980689E-10 1

5244 4,132511E-06 9,817703E-08 -2,238667E-10 1

5263 4,134839E-06 9,817746E-08 -2,709282E-10 1

5282 4,134607E-06 9,817702E-08 -2,8758E-10 1

5301 4,136935E-06 9,817746E-08 -3,254217E-10 1

5320 4,136702E-06 9,8177E-08 -3,327847E-10 1

5339 4,13903E-06 9,817743E-08 -3,614026E-10 1

5358 4,138798E-06 9,817697E-08 -3,595535E-10 1

5377 4,140893E-06 9,817737E-08 -3,511946E-10 1

5396 4,140195E-06 9,81769E-08 -3,309998E-10 1

5415 4,139263E-06 9,817682E-08 -3,028207E-10 1

5434 4,138332E-06 9,81768E-08 -2,6561E-10 1

5453 4,139729E-06 9,817722E-08 -2,206841E-10 1

5472 4,138565E-06 9,817676E-08 -1,454093E-10 1

5491 4,139729E-06 9,817716E-08 -6,368001E-11 1

5510 4,138332E-06 9,817669E-08 4,826153E-11 1

5529 4,139263E-06 9,817709E-08 1,666221E-10 1

5548 4,137633E-06 9,817663E-08 3,151701E-10 1

5567 4,138332E-06 9,817709E-08 3,777334E-10 1

5586 4,136469E-06 9,817663E-08 4,709582E-10 1

5605 4,137168E-06 9,817707E-08 5,428936E-10 1

5624 4,135305E-06 9,817661E-08 6,452354E-10 1

5643 4,136004E-06 9,817704E-08 7,262515E-10 1

5662 4,134141E-06 9,817663E-08 7,545353E-10 1

5681 4,134607E-06 9,817707E-08 7,619229E-10 1

5700 4,132744E-06 9,817663E-08 7,997332E-10 1

5719 4,13321E-06 9,817707E-08 8,163238E-10 1

5738 4,131347E-06 9,817663E-08 8,632926E-10 1

5757 4,131813E-06 9,817706E-08 8,890315E-10 1

5776 4,12995E-06 9,817666E-08 8,804967E-10 1

5795 4,130648E-06 9,817713E-08 8,048744E-10 1

5814 4,129019E-06 9,817671E-08 7,691257E-10 1

5833 4,129717E-06 9,817715E-08 7,306545E-10 1

5852 4,128087E-06 9,817676E-08 6,671009E-10 1

5871 4,129019E-06 9,81772E-08 6,01096E-10 1

5890 4,12995E-06 9,817721E-08 5,917745E-10 1

5909 4,128786E-06 9,817681E-08 5,466462E-10 1

5928 4,130183E-06 9,817725E-08 5,360686E-10 1

5947 4,129251E-06 9,817684E-08 5,555033E-10 1

5966 4,130881E-06 9,81773E-08 5,446531E-10 1

5985 4,130183E-06 9,81769E-08 5,456184E-10 1

6004 4,131813E-06 9,817734E-08 5,072354E-10 1

6023 4,131114E-06 9,817695E-08 4,068231E-10 1

6042 4,132744E-06 9,81774E-08 2,48996E-10 1

6061 4,132045E-06 9,817698E-08 9,393408E-11 1

6080 4,133442E-06 9,817737E-08 -4,490484E-11 1

6099 4,132744E-06 9,817695E-08 -1,813541E-10 1

6118 4,134141E-06 9,817734E-08 -3,016349E-10 1

6137 4,13321E-06 9,817692E-08 -4,195423E-10 1

6156 4,134374E-06 9,817727E-08 -4,566467E-10 1

6175 4,133442E-06 9,817683E-08 -4,917203E-10 1

6194 4,134607E-06 9,817719E-08 -4,460783E-10 1

6213 4,133442E-06 9,817676E-08 -3,984629E-10 1

6232 4,134374E-06 9,817711E-08 -2,701847E-10 1

6251 4,132977E-06 9,817668E-08 -1,399861E-10 1

6270 4,133908E-06 9,817707E-08 6,174922E-12 1

6289 4,132511E-06 9,817664E-08 1,545353E-10 1

6308 4,13321E-06 9,817703E-08 3,188805E-10 1

6327 4,13158E-06 9,817661E-08 4,85417E-10 1

6346 4,132278E-06 9,817705E-08 5,940459E-10 1

6365 4,130648E-06 9,817666E-08 6,405857E-10 1

6384 4,131347E-06 9,81771E-08 6,572749E-10 1

6403 4,12995E-06 9,817669E-08 6,857337E-10 1

6422 4,130881E-06 9,817715E-08 6,655553E-10 1

6441 4,129484E-06 9,817679E-08 5,74126E-10 1

6460 4,12832E-06 9,817683E-08 4,266051E-10 1

6479 4,127156E-06 9,817685E-08 2,793105E-10 1

6498 4,128553E-06 9,817732E-08 1,677226E-10 1

6517 4,130416E-06 9,81774E-08 5,712253E-11 1

6536 4,129717E-06 9,817695E-08 -1,477418E-11 1

6555 4,13158E-06 9,81774E-08 -1,079118E-10 1

6574 4,130881E-06 9,817695E-08 -1,706121E-10 1

6593 4,132744E-06 9,817739E-08 -2,544728E-10 1

6612 4,132045E-06 9,817695E-08 -3,07892E-10 1

6631 4,133908E-06 9,817739E-08 -3,824765E-10 1

6650 4,133442E-06 9,817695E-08 -4,266253E-10 1

6669 4,135305E-06 9,817738E-08 -4,919453E-10 1

6688 4,134839E-06 9,817695E-08 -5,268356E-10 1

6707 4,136702E-06 9,817738E-08 -5,829029E-10 1

6726 4,136004E-06 9,81769E-08 -5,62332E-10 1

6745 4,137866E-06 9,817733E-08 -5,632147E-10 1

6764 4,137168E-06 9,817688E-08 -5,336703E-10 1

6783 4,138798E-06 9,817727E-08 -4,515301E-10 1

6802 4,137866E-06 9,817681E-08 -3,393204E-10 1

6821 4,139263E-06 9,817718E-08 -1,653347E-10 1

6840 4,138099E-06 9,817672E-08 3,858497E-11 1

6859 4,139263E-06 9,817711E-08 2,488378E-10 1

6878 4,137866E-06 9,817665E-08 4,892164E-10 1

6897 4,13903E-06 9,817707E-08 7,174262E-10 1

6916 4,137633E-06 9,817661E-08 9,758677E-10 1

6935 4,138565E-06 9,817708E-08 1,092883E-09 1

6954 4,136935E-06 9,817663E-08 1,240749E-09 1

6973 4,137633E-06 9,817708E-08 1,302708E-09 1

6992 4,135771E-06 9,817663E-08 1,395338E-09 1

7011 4,136469E-06 9,817706E-08 1,46668E-09 1

7030 4,134607E-06 9,817667E-08 1,439144E-09 1

7049 4,135305E-06 9,817711E-08 1,390935E-09 1

7068 4,133442E-06 9,817671E-08 1,290145E-09 1

7087 4,134141E-06 9,817714E-08 1,168548E-09 1

7106 4,132278E-06 9,81767E-08 1,077457E-09 1

7125 4,132977E-06 9,817714E-08 9,652297E-10 1

7144 4,131114E-06 9,81767E-08 8,834624E-10 1

7163 4,131813E-06 9,817714E-08 7,805478E-10 1

7182 4,12995E-06 9,817673E-08 6,434418E-10 1

7201 4,130648E-06 9,81772E-08 4,393309E-10 1

7220 4,129019E-06 9,817678E-08 2,751756E-10 1

7239 4,12995E-06 9,817722E-08 1,083808E-10 1

7258 4,12832E-06 9,817679E-08 -1,877037E-11 1

7277 4,129251E-06 9,817723E-08 -1,48619E-10 1

7296 4,130183E-06 9,817725E-08 -2,217778E-10 1

7315 4,129019E-06 9,817683E-08 -3,029891E-10 1

7334 4,130416E-06 9,817727E-08 -3,497606E-10 1

7353 4,129484E-06 9,817683E-08 -3,203351E-10 1

7372 4,130881E-06 9,817725E-08 -2,475282E-10 1

7391 4,130183E-06 9,817683E-08 -1,633144E-10 1

