0 0 0 0 1

20 6,559282E-05 2,435056E-07 3,962363E-09 1
8960 6,090617E-05 -4,58175E-08 -4,518992E-08 1

8980 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9000 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9020 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9040 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9060 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9080 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9100 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9120 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9140 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9160 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9180 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9200 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9220 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9240 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9260 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9280 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9300 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9320 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9340 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9360 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9380 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9400 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9420 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9440 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9460 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9480 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9500 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9520 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9540 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9560 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9580 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9600 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9620 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9640 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9660 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9680 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9700 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9720 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9740 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9760 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9780 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9800 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9820 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9840 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9860 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9880 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9900 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9920 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9940 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9960 6,090617E-05 -4,58175E-08 -4,518992E-08 1

9980 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10000 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10020 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10040 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10060 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10080 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10100 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10120 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10140 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10160 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10180 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10200 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10220 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10240 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10260 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10280 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10300 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10320 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10340 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10360 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10380 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10400 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10420 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10440 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10460 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10480 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10500 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10520 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10540 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10560 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10580 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10600 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10620 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10640 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10660 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10680 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10700 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10720 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10740 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10760 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10780 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10800 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10820 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10840 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10860 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10880 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10900 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10920 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10940 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10960 6,090617E-05 -4,58175E-08 -4,518992E-08 1

10980 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11000 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11020 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11040 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11060 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11080 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11100 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11120 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11140 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11160 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11180 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11200 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11220 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11240 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11260 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11280 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11300 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11320 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11340 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11360 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11380 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11400 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11420 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11440 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11460 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11480 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11500 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11520 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11540 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11560 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11580 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11600 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11620 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11640 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11660 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11680 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11700 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11720 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11740 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11760 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11780 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11800 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11820 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11840 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11860 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11880 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11900 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11920 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11940 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11960 6,090617E-05 -4,58175E-08 -4,518992E-08 1

11980 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12000 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12020 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12040 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12060 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12080 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12100 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12120 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12140 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12160 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12180 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12200 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12220 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12240 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12260 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12280 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12300 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12320 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12340 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12360 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12380 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12400 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12420 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12440 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12460 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12480 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12500 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12520 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12540 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12560 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12580 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12600 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12620 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12640 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12660 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12680 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12700 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12720 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12740 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12760 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12780 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12800 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12820 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12840 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12860 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12880 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12900 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12920 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12940 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12960 6,090617E-05 -4,58175E-08 -4,518992E-08 1

12980 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13000 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13020 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13040 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13060 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13080 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13100 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13120 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13140 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13160 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13180 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13200 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13220 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13240 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13260 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13280 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13300 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13320 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13340 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13360 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13380 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13400 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13420 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13440 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13460 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13480 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13500 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13520 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13540 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13560 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13580 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13600 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13620 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13640 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13660 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13680 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13700 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13720 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13740 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13760 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13780 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13800 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13820 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13840 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13860 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13880 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13900 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13920 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13940 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13960 6,090617E-05 -4,58175E-08 -4,518992E-08 1

13980 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14000 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14020 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14040 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14060 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14080 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14100 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14120 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14140 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14160 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14180 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14200 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14220 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14240 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14260 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14280 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14300 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14320 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14340 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14360 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14380 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14400 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14420 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14440 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14460 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14480 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14500 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14520 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14540 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14560 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14580 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14600 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14620 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14640 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14660 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14680 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14700 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14720 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14740 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14760 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14780 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14800 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14820 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14840 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14860 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14880 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14900 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14920 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14940 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14960 6,090617E-05 -4,58175E-08 -4,518992E-08 1

14980 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15000 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15020 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15040 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15060 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15080 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15100 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15120 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15140 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15160 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15180 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15200 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15220 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15240 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15260 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15280 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15300 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15320 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15340 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15360 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15380 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15400 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15420 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15440 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15460 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15480 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15500 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15520 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15540 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15560 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15580 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15600 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15620 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15640 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15660 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15680 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15700 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15720 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15740 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15760 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15780 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15800 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15820 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15840 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15860 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15880 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15900 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15920 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15940 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15960 6,090617E-05 -4,58175E-08 -4,518992E-08 1

15980 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16000 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16020 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16040 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16060 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16080 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16100 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16120 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16140 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16160 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16180 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16200 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16220 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16240 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16260 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16280 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16300 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16320 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16340 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16360 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16380 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16400 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16420 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16440 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16460 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16480 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16500 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16520 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16540 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16560 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16580 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16600 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16620 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16640 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16660 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16680 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16700 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16720 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16740 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16760 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16780 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16800 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16820 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16840 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16860 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16880 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16900 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16920 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16940 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16960 6,090617E-05 -4,58175E-08 -4,518992E-08 1

16980 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17000 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17020 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17040 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17060 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17080 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17100 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17120 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17140 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17160 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17180 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17200 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17220 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17240 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17260 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17280 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17300 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17320 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17340 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17360 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17380 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17400 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17420 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17440 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17460 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17480 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17500 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17520 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17540 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17560 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17580 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17600 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17620 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17640 6,090617E-05 -4,58175E-08 -4,518992E-08 1

17660 6,090617E-05 -4,58175E-08 -4,518992E-08 1

