0 0 0 0 1

20 6,559282E-05 2,435056E-07 3,962363E-09 1
3040 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3060 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3080 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3100 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3120 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3140 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3160 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3180 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3200 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3220 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3240 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3260 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3280 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3300 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3320 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3340 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3360 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3380 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3400 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3420 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3440 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3460 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3480 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3500 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3520 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3540 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3560 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3580 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3600 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3620 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3640 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3660 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3680 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3700 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3720 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3740 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3760 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3780 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3800 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3820 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3840 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3860 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3880 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3900 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3920 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3940 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3960 6,090617E-05 -4,58175E-08 -4,518992E-08 1

3980 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4000 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4020 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4040 6,090617E-05 -4,58175E-08 -4,518992E-08 1

4060 6,090617E-05 -4,58175E-08 -4,518992E-08 1

