0 0 -4,172325E-07 0

20 3,946393E-09 -0,003362268 1,23473E-06
4480 3,883539E-08 -0,08887053 -2,55226E-07

4500 3,883539E-08 -0,08887053 -2,55226E-07

4520 3,883539E-08 -0,08887053 -2,55226E-07

4540 3,883539E-08 -0,08887053 -2,55226E-07

4560 3,883539E-08 -0,08887053 -2,55226E-07

4580 3,883539E-08 -0,08887053 -2,55226E-07

4600 3,883539E-08 -0,08887053 -2,55226E-07

4620 3,883539E-08 -0,08887053 -2,55226E-07

4640 3,883539E-08 -0,08887053 -2,55226E-07

4660 3,883539E-08 -0,08887053 -2,55226E-07

4680 3,883539E-08 -0,08887053 -2,55226E-07

4700 3,883539E-08 -0,08887053 -2,55226E-07

4720 3,883539E-08 -0,08887053 -2,55226E-07

4740 3,883539E-08 -0,08887053 -2,55226E-07

4760 3,883539E-08 -0,08887053 -2,55226E-07

4780 3,883539E-08 -0,08887053 -2,55226E-07

4800 3,883539E-08 -0,08887053 -2,55226E-07

4820 3,883539E-08 -0,08887053 -2,55226E-07

4840 3,883539E-08 -0,08887053 -2,55226E-07

4860 3,883539E-08 -0,08887053 -2,55226E-07

4880 3,883539E-08 -0,08887053 -2,55226E-07

4900 3,883539E-08 -0,08887053 -2,55226E-07

4920 3,883539E-08 -0,08887053 -2,55226E-07

4940 3,883539E-08 -0,08887053 -2,55226E-07

4960 3,883539E-08 -0,08887053 -2,55226E-07

4980 3,883539E-08 -0,08887053 -2,55226E-07

5000 3,883539E-08 -0,08887053 -2,55226E-07

5020 3,883539E-08 -0,08887053 -2,55226E-07

5040 3,883539E-08 -0,08887053 -2,55226E-07

5060 3,883539E-08 -0,08887053 -2,55226E-07

5080 3,883539E-08 -0,08887053 -2,55226E-07

5100 3,883539E-08 -0,08887053 -2,55226E-07

5120 3,883539E-08 -0,08887053 -2,55226E-07

5140 3,883539E-08 -0,08887053 -2,55226E-07

5160 3,883539E-08 -0,08887053 -2,55226E-07

5180 3,883539E-08 -0,08887053 -2,55226E-07

5200 3,883539E-08 -0,08887053 -2,55226E-07

5220 3,883539E-08 -0,08887053 -2,55226E-07

5240 3,883539E-08 -0,08887053 -2,55226E-07

5260 3,883539E-08 -0,08887053 -2,55226E-07

5280 3,883539E-08 -0,08887053 -2,55226E-07

5300 3,883539E-08 -0,08887053 -2,55226E-07

5320 3,883539E-08 -0,08887053 -2,55226E-07

5340 3,883539E-08 -0,08887053 -2,55226E-07

5360 3,883539E-08 -0,08887053 -2,55226E-07

5380 3,883539E-08 -0,08887053 -2,55226E-07

5400 3,883539E-08 -0,08887053 -2,55226E-07

5420 3,883539E-08 -0,08887053 -2,55226E-07

5440 3,883539E-08 -0,08887053 -2,55226E-07

5460 3,883539E-08 -0,08887053 -2,55226E-07

5480 3,883539E-08 -0,08887053 -2,55226E-07

5500 3,883539E-08 -0,08887053 -2,55226E-07

5520 3,883539E-08 -0,08887053 -2,55226E-07

5540 3,883539E-08 -0,08887053 -2,55226E-07

5560 3,883539E-08 -0,08887053 -2,55226E-07

5580 3,883539E-08 -0,08887053 -2,55226E-07

5600 3,883539E-08 -0,08887053 -2,55226E-07

5620 3,883539E-08 -0,08887053 -2,55226E-07

5640 3,883539E-08 -0,08887053 -2,55226E-07

5660 3,883539E-08 -0,08887053 -2,55226E-07

5680 3,883539E-08 -0,08887053 -2,55226E-07

5700 3,883539E-08 -0,08887053 -2,55226E-07

5720 3,883539E-08 -0,08887053 -2,55226E-07

